date,team,opponent,competition,venue,result,gf,ga
2014-06-19 00:00:00,England,Uruguay,WorldCup2014,neutral,L,1,2
2014-06-19 00:00:00,Colombia,Ivory Coast,WorldCup2014,neutral,W,2,1
2014-06-18 00:00:00,Croatia,Cameroon,WorldCup2014,neutral,W,4,0
2014-06-17 00:00:00,Algeria,Belgium,WorldCup2014,neutral,L,1,2
2014-06-16 00:00:00,Ghana,USA,WorldCup2014,neutral,L,1,2
2014-06-16 00:00:00,Portugal,Germany,WorldCup2014,neutral,L,0,4
2014-06-15 00:00:00,Argentina,Bosnia & Herzegovina,WorldCup2014,neutral,W,2,1
2014-06-15 00:00:00,France,Honduras,WorldCup2014,neutral,W,3,0
2014-06-15 00:00:00,Switzerland,Ecuador,WorldCup2014,neutral,W,2,1
2014-06-14 00:00:00,England,Italy,WorldCup2014,neutral,L,1,2
2014-06-14 00:00:00,Colombia,Greece,WorldCup2014,neutral,W,3,0
2014-06-12 00:00:00,Croatia,Brazil,WorldCup2014,neutral,L,1,3
